bit_index,grid_row,grid_col,pixel_y,pixel_x,sample_value,threshold,bit
114,5,22,25,1192,5.0,30.19415839130547,0
115,6,0,30,48,13.0,30.19415839130547,0
116,6,1,30,100,12.0,30.19415839130547,0
117,6,2,30,152,13.0,30.19415839130547,0
118,6,3,30,204,13.0,30.19415839130547,0
119,6,4,30,256,15.0,30.19415839130547,0
120,6,5,30,308,16.0,30.19415839130547,0
121,6,6,30,360,18.0,30.19415839130547,0
122,6,7,30,412,20.0,30.19415839130547,0
123,6,8,30,464,24.0,30.19415839130547,0
124,6,9,30,516,28.0,30.19415839130547,0
125,6,10,30,568,29.0,30.19415839130547,0
126,6,11,30,620,26.0,30.19415839130547,0
127,6,12,30,672,27.0,30.19415839130547,0
128,6,13,30,724,25.0,30.19415839130547,0
129,6,14,30,776,20.0,30.19415839130547,0
130,6,15,30,828,18.0,30.19415839130547,0
131,6,16,30,880,16.0,30.19415839130547,0
132,6,17,30,932,15.0,30.19415839130547,0
133,6,18,30,984,14.0,30.19415839130547,0
134,6,19,30,1036,12.0,30.19415839130547,0
135,6,20,30,1088,9.0,30.19415839130547,0
136,6,21,30,1140,7.0,30.19415839130547,0
137,6,22,30,1192,6.0,30.19415839130547,0
138,7,0,35,48,17.0,30.19415839130547,0
139,7,1,35,100,13.0,30.19415839130547,0
140,7,2,35,152,13.0,30.19415839130547,0
141,7,3,35,204,14.0,30.19415839130547,0
142,7,4,35,256,17.0,30.19415839130547,0
143,7,5,35,308,17.0,30.19415839130547,0
144,7,6,35,360,19.0,30.19415839130547,0
145,7,7,35,412,20.0,30.19415839130547,0
146,7,8,35,464,26.0,30.19415839130547,0
147,7,9,35,516,30.0,30.19415839130547,0
148,7,10,35,568,30.0,30.19415839130547,0
149,7,11,35,620,27.0,30.19415839130547,0
150,7,12,35,672,32.0,30.19415839130547,1
151,7,13,35,724,28.0,30.19415839130547,0
152,7,14,35,776,21.0,30.19415839130547,0
153,7,15,35,828,23.0,30.19415839130547,0
154,7,16,35,880,20.0,30.19415839130547,0
155,7,17,35,932,28.0,30.19415839130547,0
156,7,18,35,984,17.0,30.19415839130547,0
157,7,19,35,1036,26.0,30.19415839130547,0
158,7,20,35,1088,9.0,30.19415839130547,0
159,7,21,35,1140,12.0,30.19415839130547,0
160,7,22,35,1192,8.0,30.19415839130547,0
161,8,0,40,48,29.0,30.19415839130547,0
162,8,1,40,100,17.0,30.19415839130547,0
163,8,2,40,152,19.0,30.19415839130547,0
164,8,3,40,204,19.0,30.19415839130547,0
165,8,4,40,256,25.0,30.19415839130547,0
166,8,5,40,308,17.0,30.19415839130547,0
167,8,6,40,360,21.0,30.19415839130547,0
168,8,7,40,412,25.0,30.19415839130547,0
169,8,8,40,464,29.0,30.19415839130547,0
170,8,9,40,516,45.0,30.19415839130547,1
171,8,10,40,568,69.0,30.19415839130547,1
172,8,11,40,620,44.0,30.19415839130547,1
173,8,12,40,672,70.0,30.19415839130547,1
174,8,13,40,724,59.0,30.19415839130547,1
175,8,14,40,776,36.0,30.19415839130547,1
176,8,15,40,828,62.0,30.19415839130547,1
177,8,16,40,880,66.0,30.19415839130547,1
178,8,17,40,932,61.0,30.19415839130547,1
