row,col
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,12
0,34
0,37
0,38
0,39
0,42
0,43
0,44
0,46
1,0
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,37
1,38
1,39
1,41
1,42
1,43
1,45
1,48
2,0
2,1
2,2
2,4
2,6
2,34
2,37
2,38
2,39
2,40
2,41
2,42
2,43
2,44
2,48
3,0
3,1
3,2
3,4
3,5
3,7
3,37
3,41
3,42
3,43
3,44
3,48
4,0
4,2
4,5
4,7
4,38
4,39
4,40
4,46
4,47
5,0
5,2
5,3
5,37
5,38
5,45
5,46
5,47
5,48
6,0
6,1
6,3
6,7
6,21
6,27
6,39
6,47
7,2
7,3
7,4
7,26
7,40
7,41
7,43
7,47
7,48
8,0
8,1
8,2
8,3
8,4
8,15
8,31
8,44
8,46
8,47
9,1
9,42
9,45
9,46
10,5
10,40
10,42
10,44
11,3
11,18
11,31
11,32
11,42
11,47
12,5
12,6
12,18
12,20
12,23
12,24
12,34
12,35
12,39
12,43
12,45
12,46
13,0
13,2
13,3
13,10
13,13
13,18
13,20
13,42
13,47
14,0
14,5
14,6
14,7
14,8
14,9
14,10
14,18
14,20
14,35
14,41
14,42
14,43
14,44
14,46
15,0
15,1
15,4
15,7
15,10
15,11
15,16
15,18
15,19
15,20
15,25
15,26
15,29
15,30
15,35
15,36
15,37
15,39
15,44
15,46
15,47
15,48
16,0
16,1
16,2
16,3
16,18
16,20
16,34
16,42
16,43
17,16
17,18
17,20
17,22
17,46
18,1
18,18
18,19
18,20
18,22
18,25
18,26
18,43
18,44
18,46
18,47
18,48
19,0
19,1
19,18
19,20
19,22
19,44
19,46
20,0
20,18
20,20
20,22
20,44
20,45
20,46
21,2
21,10
21,17
21,18
21,20
21,22
21,23
21,24
21,29
21,30
21,33
21,40
21,42
21,43
21,45
22,0
22,11
22,12
22,18
22,20
22,22
22,47
23,2
23,18
23,20
23,22
23,41
23,42
23,43
23,44
24,13
24,14
24,18
24,20
24,21
24,22
24,43
24,44
25,1
25,2
25,18
25,20
25,22
25,26
25,40
25,41
25,43
25,44
25,48
26,18
26,20
26,22
27,16
27,17
27,18
27,19
27,20
27,21
27,22
27,29
27,30
27,44
28,18
28,20
28,22
29,1
29,18
29,20
29,22
29,44
30,18
30,19
30,20
30,22
30,25
30,26
30,30
30,39
31,20
31,22
31,34
32,18
32,20
32,22
33,11
33,20
33,21
33,22
33,29
33,30
33,39
34,20
34,22
34,43
35,14
35,15
35,20
35,22
35,24
36,20
37,18
37,20
38,18
38,20
38,38
39,18
39,20
39,29
39,30
39,41
39,43
40,20
40,38
41,16
41,17
41,20
41,21
42,42
44,16
44,17
44,25
44,26
45,30
45,39
46,12
46,13
47,25
47,26
47,34
49,11
51,42
