row,col
45,41
37,37
16,14
22,48
34,50
45,50
16,23
34,59
45,59
38,20
22,66
46,33
14,62
22,75
14,71
22,84
18,32
15,45
26,45
7,41
18,41
15,54
26,54
7,50
18,50
47,36
19,24
48,60
27,37
19,33
30,33
27,46
42,35
43,54
11,38
39,20
19,51
33,53
12,30
23,30
25,49
33,62
44,62
41,75
25,58
33,71
22,34
44,71
25,67
37,32
45,36
34,45
45,45
37,41
34,54
45,54
46,19
37,50
22,61
46,28
38,24
46,37
14,66
38,33
49,33
18,36
15,49
7,45
18,45
15,58
26,58
36,81
7,54
18,54
27,32
19,28
8,37
19,37
30,37
11,33
25,44
25,62
45,40
22,47
34,49
42,38
32,79
37,45
45,49
45,58
46,23
37,54
15,17
38,19
24,84
35,84
46,32
38,28
49,28
38,37
49,37
36,67
47,67
48,41
7,49
18,49
48,50
48,59
30,32
11,28
33,34
29,82
40,82
10,41
10,50
33,52
22,24
14,20
22,33
45,35
25,66
34,44
37,49
15,12
